SMILES	GABAAalpha	NMDA	O00222	O15303	P41594	Q13255	Q14416	Q14643	Q14831	Q14832	Q14833
C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn-21	6.891333333333333										
C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn-21	7.878833333333333										
C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCCCOC(=O)c3c4CN(C)C(=O)c5c(ccc(C#C)c5)-n4cn3)ncn-21	7.824										
C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCOCOC(=O)c3c4CN(C)C(=O)c5c(ccc(C#C)c5)-n4cn3)ncn-21	5.421										
C#Cc1ccc2c(c1)C(=O)N1CCC1c1c(-c3nc(-c4ccccc4)no3)ncn-21	6.43										
C#Cc1ccc2c(c1)C(=O)N1CCC1c1c(-c3nc(C(C)C)no3)ncn-21	7.0840000000000005										
C#Cc1ccc2c(c1)C(=O)N1CCC1c1c(-c3nc(C)no3)ncn-21	7.345999999999999										
C#Cc1ccc2c(c1)C(=O)N1CCC1c1c(-c3nc(CC)no3)ncn-21	6.912000000000001										
C#Cc1ccc2c(c1)C(=O)N1CCC1c1c(C(=O)OCC)ncn-21	8.081999999999999										
C#Cc1ccc2c(c1)C(=O)N1CCCC1c1c(-c3nc(-c4ccccc4)no3)ncn-21	6.34										
C#Cc1ccc2c(c1)C(=O)N1CCCC1c1c(-c3nc(C(C)C)no3)ncn-21	7.204000000000001										
C#Cc1ccc2c(c1)C(=O)N1CCCC1c1c(-c3nc(C)no3)ncn-21	7.077										
C#Cc1ccc2c(c1)C(=O)N1CCCC1c1c(-c3nc(CC)no3)ncn-21	7.396000000000001										
C#Cc1ccc2c(c1)C(=O)N1CCCC1c1c(C(=O)OC(C)(C)C)ncn-21	6.669										
C#Cc1ccc2c(c1)C(=O)N1CCCC1c1c(C(=O)OCC(F)(F)F)ncn-21	6.848333333333333										
C#Cc1ccc2c(c1)C(=O)N1CCCC1c1c(C(=O)OCC)ncn-21	7.385199999999999										
C#Cc1ccc2c(c1)C(c1ccccc1)=NCc1c(-c3cnco3)ncn-21	5.5945										
C#Cc1ccc2c(c1)C(c1ccccc1)=NCc1c(C(=O)OCC)ncn-21	6.765333333333333										
C#Cc1ccc2c(c1)C(c1ccccc1)=NCc1c(C(=O)OCCCOC(=O)c3c4CN=C(c5ccccc5)c5c(ccc(C#C)c5)-n4cn3)ncn-21	6.440833333333334										
C#Cc1ccc2c(c1)C(c1ccccc1)=NCc1c(C(=O)OCCOCCOC(=O)c3c4CN=C(c5ccccc5)c5c(ccc(C#C)c5)-n4cn3)ncn-21	5.5605										
C#Cc1ccc2c(c1)C(c1ccccc1F)=NC(C)c1c(C(=O)NC)ncn-21	6.4875										
C#Cc1ccc2c(c1)C(c1ccccc1F)=NCc1c(-c3cnco3)ncn-21	6.3294999999999995										
C#Cc1ccc2c(c1)C(c1ccccc1F)=NCc1c(C(=O)OCC)ncn-21	6.1195										
C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(-c3cnco3)ncn-21	6.533333333333334										
C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(-c3nc(C)no3)ncn-21	4.9945										
C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(-c3nc(CC)no3)ncn-21	5.1095										
C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(C(=O)O)ncn-21	5.5145										
C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(C(=O)OCC)ncn-21	6.567666666666667										
C#Cc1ccc2c(c1)c(=O)n(C)c1c(C(=O)OCC)ncn21	7.540000000000001										
C#Cc1ccc2c(c1)c(=O)n(C)c1c(C(=O)OCCOC(=O)c3c4n(C)c(=O)c5c(ccc(C#C)c5)n4cn3)ncn21	6.489333333333334										
C#Cc1ccc2c(c1)c1c(cnc(C(=O)OC(C)(C)C)c1)n2C(=O)OC(C)(C)C	5.5625										
C#Cc1ccc2ncc3c(O)n(-c4ccccc4)nc3c2c1	10.28										
C#Cc1cn(C2=NCC(=O)N3CCc4c(cccc4-c4cscn4)C3=C2)cn1					6.91	5.0					
C#Cc1nc(C#Cc2cccc(F)c2)cs1					5.537000000000001						
C#Cc1ncc(C#Cc2csc(C)n2)cc1					5.53						
C(#CC1CCCCC1)c1ncccc1					6.973						
C(#Cc1c2COc3c(cccc3)-n2cn1)c1ccccc1	5.919999999999999				6.975						
C(#Cc1c2COc3c(cccc3)-n2cn1)c1cccnc1	6.349999999999999				6.5						
C(#Cc1cc2c(cc1)[nH]cc2)CN1CCC(Cc2ccccc2)CC1		4.82									
C(#Cc1cc2c(nc1)NCCO2)c1ccccc1					7.69						
C(#Cc1ccc(C(N2CCOCC2)N2CCOCC2)cc1)c1ccccc1					6.011						
C(#Cc1ccc2[nH]ncc2c1)CCN1CCC(Cc2ccccc2)CC1		5.31									
C(#Cc1ccc2[nH]ncc2c1)CN1CCC(Cc2ccccc2)CC1		6.42									
C(#Cc1ccc2[nH]nnc2c1)CCN1CCC(Cc2ccccc2)CC1		6.66									
C(#Cc1ccc2[nH]nnc2c1)CN1CCC(Cc2ccccc2)CC1		6.38									
C(#Cc1ccccn1)C1=CCC(Nc2ccc3ccccc3c2)CC1					6.5120000000000005						
C(#Cc1cnc2NCCc2c1)c1ccccc1					7.8						
C(#Cc1cncnc1)c1ccccc1					6.31						
